,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
169,glasgow,55.8652,-4.2576,44.6,81,100,8.05,1619124852
170,taunggyi,20.7833,97.0333,67.26,51,0,2.75,1619124972
171,ancud,-41.8697,-73.8203,53.01,100,90,3.44,1619124496
172,damavand,35.7178,52.065,80.6,16,75,9.22,1619124973
173,riyadh,24.6877,46.7219,87.8,15,0,4.61,1619124844
174,khonsa,27.0167,95.5667,62.91,83,7,3.4,1619124973
175,alta floresta,-9.8756,-56.0861,80.6,83,75,11.5,1619124973
176,bilma,18.6853,12.9164,90.93,11,0,5.59,1619124708
177,carrollton,32.9537,-96.8903,64.4,32,90,13.8,1619124871
178,pacific grove,36.6177,-121.9166,55.99,71,90,11.5,1619124974
179,narsaq,60.9167,-46.05,53.6,26,75,16.11,1619124974
180,gotsu,35.0,132.2167,57.09,54,100,7.14,1619124974
181,barrow,71.2906,-156.7887,19.4,73,1,6.91,1619124533
182,pechenga,69.5259,31.1703,32.0,93,75,10.36,1619124975
183,kataysk,56.289,62.5841,45.99,56,100,8.57,1619124975
184,svetlogorsk,52.6333,29.7333,43.83,93,96,5.39,1619124975
185,soe,-9.8607,124.284,61.77,92,12,3.83,1619124976
186,huarmey,-10.0681,-78.1522,72.75,74,6,11.18,1619124976
187,naze,28.3667,129.4833,66.96,71,100,21.99,1619124976
188,poum,-20.2333,164.0167,77.77,80,69,13.0,1619124900
189,te anau,-45.4167,167.7167,48.69,87,88,4.81,1619124977
190,hun,29.1268,15.9477,77.0,17,56,21.52,1619124977
191,hofn,64.2539,-15.2082,42.8,70,75,4.61,1619124977
192,namtsy,62.7161,129.6658,8.6,66,0,4.47,1619124978
193,redmond,47.674,-122.1215,60.01,66,98,4.97,1619124887
194,dmitriyevka,54.75,55.3333,37.4,100,90,8.95,1619124978
195,yellowknife,62.456,-114.3525,17.6,53,75,19.57,1619124306
196,saint-louis,16.3333,-15.0,82.58,26,95,14.29,1619124978
197,hargeysa,9.56,44.065,74.68,58,87,6.62,1619124857
198,najran,17.4924,44.1277,75.2,17,0,2.3,1619124979
199,tulum,20.2167,-87.4667,87.8,51,75,6.91,1619124979
200,shirvan,39.9509,48.8994,60.22,79,100,4.16,1619124980
201,zeya,53.75,127.2667,27.64,53,30,8.1,1619124980
